Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes,data,NUTS_code,NUTS_level,soglia30,sopraSoglia
Abruzzo,123,1382,1,181,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF1,2,0.552486,
Basilicata,14,338,1,79,13,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF5,2,1.265823,
Calabria,118,952,5,179,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF6,2,2.793296,
Campania,228,3878,9,575,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF3,2,1.565217,
Emilia-Romagna,588,9001,23,889,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITH5,2,2.587177,
Friuli Venezia Giulia,89,1277,4,175,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITH4,2,2.285714,
Lazio,351,6421,27,943,243,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITI4,2,2.863203,
Liguria,118,1571,3,218,12,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITC3,2,1.376147,
Lombardia,468,10457,9,1810,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITC4,2,0.497238,
Marche,47,983,3,230,50,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITI3,2,1.304348,
Molise,6,176,0,39,26,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF2,2,0,
P.A. Bolzano,51,500,2,100,20,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITH1,2,2.000000,
P.A. Trento,39,517,1,90,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITH2,2,1.111111,
Piemonte,245,6794,6,628,99,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITC1,2,0.955414,
Puglia,99,2735,9,405,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITF4,2,2.222222,
Sardegna,58,1602,6,204,16,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITG2,2,2.941176,
Sicilia,203,3432,13,788,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITG1,2,1.649746,
Toscana,151,5033,5,570,13,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITI1,2,0.877193,
Umbria,105,662,0,86,41,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITI2,2,0,
Valle d'Aosta,9,67,0,13,21,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITC2,2,0,
Veneto,240,6000,11,1000,0,Dati della Protezione Civile del 22 Settembre 2022 ore 23:45,,,,,,2022-09-22,ITH3,2,1.100000,
