Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,name,rows,cols,id,classes
Abruzzo,683,17774,11908,912,624,5%,567,43,"3,70%",57,"4,37","9,60%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Basilicata,307,4556,3600,646,164,5%,141,25,"5,20%",23,"4,13","21,10%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Calabria,297,9416,6677,347,365,5%,338,18,"13,40%",27,"1,40","28,60%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Campania,4079,104065,83220,1438,2336,3%,2153,37,"10,80%",183,"3,16","-4,70%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Emilia-Romagna,2384,83068,48156,1078,2389,5%,2164,48,"3,30%",225,"5,04","-1,30%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Friuli Venezia Giulia,831,17771,9151,755,413,5%,366,30,"5,80%",47,"3,88","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Lazio,2925,78665,62399,1064,3278,5%,3018,51,"2,20%",260,"4,43","0,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Liguria,1209,41464,14885,965,1482,10%,1372,89,"0,70%",110,"7,13","0,90%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Lombardia,10634,304591,151269,1497,8120,5%,7319,72,"3,90%",801,"7,93","2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Marche,740,21830,12834,845,633,5%,559,37,"4,30%",74,"4,87","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Molise,63,2789,1879,622,62,3%,55,18,"0,00%",7,"2,32","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
P.A. Bolzano,820,15984,9714,1826,494,5%,453,85,"1,10%",41,"7,71","-2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
P.A. Trento,202,12094,2920,538,383,13%,353,65,"4,40%",30,"5,53","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Piemonte,5258,117312,66654,1535,5243,8%,4890,113,"1,20%",353,"8,13","1,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Puglia,1350,31792,22511,562,1407,6%,1249,31,"4,70%",158,"3,94","9,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Sardegna,623,14417,9693,594,529,5%,472,29,"11,30%",57,"3,50","1,80%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Sicilia,1707,38381,26286,529,1660,6%,1450,29,"4,20%",210,"4,23","2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Toscana,2478,74330,50129,1347,1921,4%,1656,44,"0,20%",265,"7,12","3,50%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Umbria,604,17640,10390,1180,427,4%,359,41,"1,40%",68,"7,72","-1,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Valle d'Aosta,103,4858,2363,1883,164,7%,149,119,"-6,30%",15,"11,95","-6,30%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Veneto,3605,94506,57288,1167,2050,4%,1831,37,"3,90%",219,"4,46","2,80%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,,
Abruzzo,729,20552,14008,1073,656,5%,590,45,"3,30%",66,"5,05","11,90%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Basilicata,269,5375,4326,777,180,4%,150,27,"7,10%",30,"5,39","11,10%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Calabria,680,11070,7738,402,406,5%,353,18,"-1,40%",53,"2,75","17,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Campania,3019,118285,92726,1603,2437,3%,2236,39,"2,10%",201,"3,47","4,70%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Emilia-Romagna,2219,93285,57268,1282,2698,5%,2451,55,"2,40%",247,"5,53","0,00%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Friuli Venezia Giulia,536,19929,10421,860,498,5%,454,37,"11,50%",44,"3,63","-6,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Lazio,2538,89219,71255,1215,3374,5%,3066,52,"-1,10%",308,"5,25","10,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Liguria,685,44427,16531,1071,1510,9%,1393,90,"0,90%",117,"7,58","5,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Lombardia,8448,333356,156567,1550,9045,6%,8151,81,"3,20%",894,"8,85","4,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Marche,357,23955,14511,956,603,4%,525,35,"5,20%",78,"5,14","0,00%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Molise,147,3268,2201,728,69,3%,60,20,"7,10%",9,"2,98","28,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
P.A. Bolzano,258,18104,10701,2011,526,5%,482,91,"-1,00%",44,"8,27","2,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
P.A. Trento,276,13025,2994,552,423,14%,388,71,"0,50%",35,"6,45","9,40%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Piemonte,2606,131547,73786,1700,5534,8%,5150,119,"1,50%",384,"8,85","1,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Puglia,1234,36716,26607,664,1497,6%,1316,33,"1,60%",181,"4,52","-0,50%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Sardegna,502,16096,10784,661,576,5%,512,31,"0,40%",64,"3,93","1,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Sicilia,1698,44691,30756,619,1732,6%,1505,30,"0,30%",227,"4,57","1,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Toscana,2361,84197,54152,1455,2069,4%,1792,48,"0,80%",277,"7,44","-2,50%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Umbria,351,19510,11244,1277,438,4%,368,42,"-1,90%",70,"7,95","-2,80%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Valle d'Aosta,154,5499,2163,1723,169,8%,152,121,"0,70%",17,"13,55","6,30%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Veneto,3124,105966,63071,1285,2246,4%,1980,40,"-0,30%",266,"5,42","5,60%",Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,,
Abruzzo,641,21193,14390,1102,686,5%,621,48,"5,30%",65,"4,98","-1,50%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Basilicata,237,5612,4504,809,172,4%,144,26,"-4,00%",28,"5,03","-6,70%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Calabria,936,12006,8531,443,434,5%,388,20,"9,90%",46,"2,39","-13,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Campania,3657,121942,95139,1644,2459,3%,2259,39,"1,00%",200,"3,46","-0,50%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Emilia-Romagna,2371,95654,59319,1328,2693,5%,2449,55,"-0,10%",244,"5,46","-1,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Friuli Venezia Giulia,796,20725,10754,888,519,5%,470,39,"3,50%",49,"4,05","11,40%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
Lazio,2866,92085,73491,1253,3374,5%,3056,52,"-0,30%",318,"5,42","3,20%",Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,,
