Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
Abruzzo,567,1264,57,178,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF1,2,44.857595,◼
Basilicata,141,429,23,91,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF5,2,32.867133,
Calabria,338,813,27,146,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF6,2,41.574416,◼
Campania,2153,4414,183,590,66,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF3,2,48.776620,◼
Emilia-Romagna,2164,4199,225,661,30,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH5,2,51.536080,◼
Friuli Venezia Giulia,366,1277,47,175,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH4,2,28.660924,
Lazio,3018,6223,260,962,253,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI4,2,48.497509,◼
Liguria,1372,1889,110,216,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC3,2,72.631022,◼
Lombardia,7319,14651,801,1355,175,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC4,2,49.955634,◼
Marche,559,963,74,164,37,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI3,2,58.047767,◼
Molise,55,216,7,34,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF2,2,25.462963,
P.A. Bolzano,453,468,41,68,9,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH1,2,96.794872,◼
P.A. Trento,353,517,30,90,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH2,2,68.278530,◼
Piemonte,4890,5442,353,627,100,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC1,2,89.856670,◼
Puglia,1249,2867,158,437,76,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF4,2,43.564702,◼
Sardegna,472,1416,57,172,33,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITG2,2,33.333333,
Sicilia,1450,4142,210,728,200,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITG1,2,35.007243,
Toscana,1656,4262,265,575,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI1,2,38.854998,
Umbria,359,729,68,117,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI2,2,49.245542,◼
Valle d'Aosta,149,189,15,37,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC2,2,78.835979,◼
Veneto,1831,6000,219,1000,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH3,2,30.516667,
Abruzzo,590,1252,66,178,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF1,2,47.124601,◼
Basilicata,150,426,30,91,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF5,2,35.211268,
Calabria,353,813,53,156,19,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF6,2,43.419434,◼
Campania,2236,4722,201,590,66,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF3,2,47.352817,◼
Emilia-Romagna,2451,5175,247,703,30,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH5,2,47.362319,◼
Friuli Venezia Giulia,454,1277,44,175,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH4,2,35.552075,
Lazio,3066,6223,308,962,253,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI4,2,49.268841,◼
Liguria,1393,1895,117,221,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC3,2,73.509235,◼
Lombardia,8151,15404,894,1390,140,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC4,2,52.914827,◼
Marche,525,1016,78,174,72,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI3,2,51.673228,◼
Molise,60,221,9,34,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF2,2,27.149321,
P.A. Bolzano,482,505,44,77,2,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH1,2,95.445545,◼
P.A. Trento,388,600,35,90,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH2,2,64.666667,◼
Piemonte,5150,5612,384,628,99,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC1,2,91.767641,◼
Puglia,1316,3081,181,440,76,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF4,2,42.713405,◼
Sardegna,512,1543,64,175,31,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITG2,2,33.182113,
