Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
Abruzzo,170,1382,3,181,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF1,2,12.301013,
Basilicata,35,336,0,79,13,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF5,2,10.416667,
Calabria,158,944,5,168,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF6,2,16.737288,
Campania,274,3878,14,575,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF3,2,7.065498,
Emilia-Romagna,943,9001,36,889,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITH5,2,10.476614,
Friuli Venezia Giulia,225,1277,10,175,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITH4,2,17.619421,
Lazio,517,6421,40,943,243,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITI4,2,8.051705,
Liguria,202,1583,6,218,12,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITC3,2,12.760581,
Lombardia,1101,10457,15,1810,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITC4,2,10.528832,
Marche,121,983,2,230,48,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITI3,2,12.309257,
Molise,9,176,0,39,26,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF2,2,5.113636,
P.A. Bolzano,120,500,4,100,20,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITH1,2,24.000000,
P.A. Trento,94,517,2,90,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITH2,2,18.181818,
Piemonte,743,6794,21,628,99,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITC1,2,10.936120,
Puglia,131,2735,6,405,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITF4,2,4.789762,
Sardegna,87,1602,5,204,16,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITG2,2,5.430712,
Sicilia,231,3278,20,793,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITG1,2,7.046980,
Toscana,459,5033,19,570,13,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITI1,2,9.119809,
Umbria,174,662,1,86,41,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITI2,2,26.283988,
Valle d'Aosta,37,67,0,13,21,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITC2,2,55.223881,◼
Veneto,709,6000,35,1000,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45,,,,,,2022-10-14,ITH3,2,11.816667,
