NUTS_code,rossa,arancione,gialla,bianca,nomeTesto,NUTS_level
ITF3,73,45,105,210,Campania,2
ITC2,66,78,93,196,Valle d'Aosta,2
ITC4,59,90,81,203,Lombardia,2
ITF4,52,65,94,222,Puglia,2
ITC1,52,62,116,203,Piemonte,2
ITH1,49,104,112,168,Provincia autonoma Bolzano,2
ITF5,46,67,105,215,Basilicata,2
ITI1,45,80,105,203,Toscana,2
ITF6,38,125,95,175,Calabria,2
ITH5,38,104,81,210,Emilia-Romagna,2
ITH4,38,62,151,182,Friuli Venezia Giulia,2
ITF1,34,106,76,217,Abruzzo,2
ITG2,34,73,69,257,Sardegna,2
ITF2,34,45,118,236,Molise,2
ITH3,33,88,116,196,Veneto,2
ITH2,33,53,158,189,Provincia autonoma Trento,2
ITI3,32,75,144,182,Marche,2
ITI4,32,40,158,203,Lazio,2
ITG1,28,128,121,156,Sicilia,2
ITI2,13,122,69,229,Umbria,2
ITC3,13,102,122,196,Liguria,2
