categoria,vaccinazioni,aggiornamento,dataAggiornamento
1 - Operatori Sanitari e Sociosanitari,61683,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
2 - Personale non Sanitario,6227,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
3 - Ospiti Strutture Residenziali,4487,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
1 - Operatori Sanitari e Sociosanitari,105232,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
2 - Personale non Sanitario,6170,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
3 - Ospiti Strutture Residenziali,6634,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
1 - Operatori Sanitari e Sociosanitari,140342,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
2 - Personale non Sanitario,8968,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
3 - Ospiti Strutture Residenziali,8869,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
1 - Operatori Sanitari e Sociosanitari,166364,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
2 - Personale non Sanitario,14864,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
3 - Ospiti Strutture Residenziali,9783,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
1 - Operatori Sanitari e Sociosanitari,273184,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
2 - Personale non Sanitario,30293,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
3 - Ospiti Strutture Residenziali,17600,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
1 - Operatori Sanitari e Sociosanitari,340959,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
2 - Personale non Sanitario,41903,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
3 - Ospiti Strutture Residenziali,24182,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
1 - Operatori Sanitari e Sociosanitari,404632,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
2 - Personale non Sanitario,54335,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
3 - Ospiti Strutture Residenziali,30220,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
1 - Operatori Sanitari e Sociosanitari,416292,1/9/2021 12:37:23 AM,2021-01-09 00:37:23
2 - Personale non Sanitario,57016,1/9/2021 12:37:23 AM,2021-01-09 00:37:23
3 - Ospiti Strutture Residenziali,31279,1/9/2021 12:37:23 AM,2021-01-09 00:37:23
