fascia,vaccinazioni,aggiornamento,dataAggiornamento
16-19,66,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
20-29,4428,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
30-39,8033,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
40-49,10579,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
50-59,13194,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
60-69,6656,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
70-79,805,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
80-89,1314,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
90+,955,1/2/2021 1:36:21 PM,2021-01-02 13:36:21
16-19,66,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
20-29,4428,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
30-39,8033,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
40-49,10579,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
50-59,13194,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
60-69,6656,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
70-79,805,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
80-89,1314,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
90+,955,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
16-19,71,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
20-29,5051,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
30-39,9188,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
40-49,12036,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
50-59,14863,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
60-69,7622,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
70-79,857,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
80-89,1366,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
90+,983,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
16-19,104,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
20-29,6537,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
30-39,11970,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
40-49,15427,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
50-59,19064,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
60-69,10206,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
70-79,1073,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
80-89,1715,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
90+,1245,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
16-19,109,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
20-29,7195,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
30-39,12869,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
40-49,16619,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
50-59,20601,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
60-69,10781,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
70-79,1144,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
80-89,1775,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
90+,1304,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
16-19,109,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
20-29,7195,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
30-39,12869,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
40-49,16619,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
