regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Abruzzo,685,8.632640,7935,1/2/2021 11:15:13 PM,13,2021-01-02 23:15:13
Basilicata,303,6.084337,4980,1/2/2021 11:15:13 PM,17,2021-01-02 23:15:13
Calabria,448,3.458124,12955,1/2/2021 11:15:13 PM,18,2021-01-02 23:15:13
Campania,6671,19.695896,33870,1/2/2021 11:15:13 PM,15,2021-01-02 23:15:13
Emilia-Romagna,5504,12.544729,43875,1/2/2021 11:15:13 PM,08,2021-01-02 23:15:13
Friuli-Venezia Giulia,3160,26.410364,11965,1/2/2021 11:15:13 PM,06,2021-01-02 23:15:13
Lazio,16366,35.729724,45805,1/2/2021 11:15:13 PM,12,2021-01-02 23:15:13
Liguria,1889,11.865578,15920,1/2/2021 11:15:13 PM,07,2021-01-02 23:15:13
Lombardia,2446,3.034928,80595,1/2/2021 11:15:13 PM,03,2021-01-02 23:15:13
Marche,953,10.618384,8975,1/2/2021 11:15:13 PM,11,2021-01-02 23:15:13
Molise,50,1.680672,2975,1/2/2021 11:15:13 PM,14,2021-01-02 23:15:13
P.A. Bolzano,1037,17.297748,5995,1/2/2021 11:15:13 PM,21,2021-01-02 23:15:13
P.A. Trento,2138,42.974874,4975,1/2/2021 11:15:13 PM,22,2021-01-02 23:15:13
Piemonte,9478,23.182096,40885,1/2/2021 11:15:13 PM,01,2021-01-02 23:15:13
Puglia,4607,17.818604,25855,1/2/2021 11:15:13 PM,16,2021-01-02 23:15:13
Sardegna,302,2.349280,12855,1/2/2021 11:15:13 PM,20,2021-01-02 23:15:13
Sicilia,2471,5.312836,46510,1/2/2021 11:15:13 PM,19,2021-01-02 23:15:13
Toscana,6824,24.441261,27920,1/2/2021 11:15:13 PM,09,2021-01-02 23:15:13
Umbria,980,19.758065,4960,1/2/2021 11:15:13 PM,10,2021-01-02 23:15:13
Valle d'Aosta,44,4.422111,995,1/2/2021 11:15:13 PM,02,2021-01-02 23:15:13
Veneto,6041,15.529563,38900,1/2/2021 11:15:13 PM,05,2021-01-02 23:15:13
Abruzzo,1156,14.568368,7935,1/3/2021 11:12:42 PM,13,2021-01-03 23:12:42
Basilicata,1466,29.437751,4980,1/3/2021 11:12:42 PM,17,2021-01-03 23:12:42
Calabria,453,3.496719,12955,1/3/2021 11:12:42 PM,18,2021-01-03 23:12:42
Campania,10745,31.724240,33870,1/3/2021 11:12:42 PM,15,2021-01-03 23:12:42
Emilia-Romagna,8254,18.812536,43875,1/3/2021 11:12:42 PM,08,2021-01-03 23:12:42
Friuli-Venezia Giulia,3471,29.009611,11965,1/3/2021 11:12:42 PM,06,2021-01-03 23:12:42
Lazio,22314,48.715206,45805,1/3/2021 11:12:42 PM,12,2021-01-03 23:12:42
Liguria,2582,16.218593,15920,1/3/2021 11:12:42 PM,07,2021-01-03 23:12:42
Lombardia,3126,3.878653,80595,1/3/2021 11:12:42 PM,03,2021-01-03 23:12:42
Marche,1631,18.172702,8975,1/3/2021 11:12:42 PM,11,2021-01-03 23:12:42
Molise,50,1.680672,2975,1/3/2021 11:12:42 PM,14,2021-01-03 23:12:42
P.A. Bolzano,1037,17.297748,5995,1/3/2021 11:12:42 PM,21,2021-01-03 23:12:42
P.A. Trento,2726,54.793970,4975,1/3/2021 11:12:42 PM,22,2021-01-03 23:12:42
Piemonte,12604,30.827932,40885,1/3/2021 11:12:42 PM,01,2021-01-03 23:12:42
Puglia,6802,26.308258,25855,1/3/2021 11:12:42 PM,16,2021-01-03 23:12:42
Sardegna,392,3.049397,12855,1/3/2021 11:12:42 PM,20,2021-01-03 23:12:42
Sicilia,11612,24.966674,46510,1/3/2021 11:12:42 PM,19,2021-01-03 23:12:42
Toscana,10545,37.768625,27920,1/3/2021 11:12:42 PM,09,2021-01-03 23:12:42
Umbria,1250,25.201613,4960,1/3/2021 11:12:42 PM,10,2021-01-03 23:12:42
Valle d'Aosta,44,4.422111,995,1/3/2021 11:12:42 PM,02,2021-01-03 23:12:42
Veneto,15776,40.555270,38900,1/3/2021 11:12:42 PM,05,2021-01-03 23:12:42
Abruzzo,2289,28.846881,7935,1/4/2021 10:44:35 PM,13,2021-01-04 22:44:35
Basilicata,2007,40.301205,4980,1/4/2021 10:44:35 PM,17,2021-01-04 22:44:35
Calabria,677,5.225782,12955,1/4/2021 10:44:35 PM,18,2021-01-04 22:44:35
Campania,10745,31.724240,33870,1/4/2021 10:44:35 PM,15,2021-01-04 22:44:35
Emilia-Romagna,8254,18.812536,43875,1/4/2021 10:44:35 PM,08,2021-01-04 22:44:35
Friuli-Venezia Giulia,4963,41.479315,11965,1/4/2021 10:44:35 PM,06,2021-01-04 22:44:35
Lazio,28134,61.421242,45805,1/4/2021 10:44:35 PM,12,2021-01-04 22:44:35
Liguria,4801,30.157035,15920,1/4/2021 10:44:35 PM,07,2021-01-04 22:44:35
Lombardia,8082,10.027917,80595,1/4/2021 10:44:35 PM,03,2021-01-04 22:44:35
Marche,2385,26.573816,8975,1/4/2021 10:44:35 PM,11,2021-01-04 22:44:35
Molise,50,1.680672,2975,1/4/2021 10:44:35 PM,14,2021-01-04 22:44:35
P.A. Bolzano,1490,24.854045,5995,1/4/2021 10:44:35 PM,21,2021-01-04 22:44:35
P.A. Trento,2768,55.638191,4975,1/4/2021 10:44:35 PM,22,2021-01-04 22:44:35
Piemonte,17473,42.736945,40885,1/4/2021 10:44:35 PM,01,2021-01-04 22:44:35
Puglia,10413,40.274608,25855,1/4/2021 10:44:35 PM,16,2021-01-04 22:44:35
Sardegna,965,7.506807,12855,1/4/2021 10:44:35 PM,20,2021-01-04 22:44:35
Sicilia,13170,28.316491,46510,1/4/2021 10:44:35 PM,19,2021-01-04 22:44:35
Toscana,15644,56.031519,27920,1/4/2021 10:44:35 PM,09,2021-01-04 22:44:35
Umbria,2057,41.471774,4960,1/4/2021 10:44:35 PM,10,2021-01-04 22:44:35
Valle d'Aosta,186,18.693467,995,1/4/2021 10:44:35 PM,02,2021-01-04 22:44:35
Veneto,21626,55.593830,38900,1/4/2021 10:44:35 PM,05,2021-01-04 22:44:35
Abruzzo,3533,44.524260,7935,1/5/2021 5:45:18 PM,13,2021-01-05 17:45:18
Basilicata,2337,46.927711,4980,1/5/2021 5:45:18 PM,17,2021-01-05 17:45:18
Calabria,771,5.951370,12955,1/5/2021 5:45:18 PM,18,2021-01-05 17:45:18
Campania,16602,49.016829,33870,1/5/2021 5:45:18 PM,15,2021-01-05 17:45:18
Emilia-Romagna,18587,42.363533,43875,1/5/2021 5:45:18 PM,08,2021-01-05 17:45:18
Friuli-Venezia Giulia,4963,41.479315,11965,1/5/2021 5:45:18 PM,06,2021-01-05 17:45:18
Lazio,29678,64.792053,45805,1/5/2021 5:45:18 PM,12,2021-01-05 17:45:18
Liguria,5505,34.579146,15920,1/5/2021 5:45:18 PM,07,2021-01-05 17:45:18
Lombardia,11302,14.023202,80595,1/5/2021 5:45:18 PM,03,2021-01-05 17:45:18
Marche,3444,38.373259,8975,1/5/2021 5:45:18 PM,11,2021-01-05 17:45:18
Molise,358,12.033613,2975,1/5/2021 5:45:18 PM,14,2021-01-05 17:45:18
P.A. Bolzano,2074,34.595496,5995,1/5/2021 5:45:18 PM,21,2021-01-05 17:45:18
P.A. Trento,3367,67.678392,4975,1/5/2021 5:45:18 PM,22,2021-01-05 17:45:18
Piemonte,17795,43.524520,40885,1/5/2021 5:45:18 PM,01,2021-01-05 17:45:18
Puglia,11153,43.136724,25855,1/5/2021 5:45:18 PM,16,2021-01-05 17:45:18
Sardegna,965,7.506807,12855,1/5/2021 5:45:18 PM,20,2021-01-05 17:45:18
Sicilia,19064,40.989035,46510,1/5/2021 5:45:18 PM,19,2021-01-05 17:45:18
Toscana,15644,56.031519,27920,1/5/2021 5:45:18 PM,09,2021-01-05 17:45:18
Umbria,2057,41.471774,4960,1/5/2021 5:45:18 PM,10,2021-01-05 17:45:18
Valle d'Aosta,186,18.693467,995,1/5/2021 5:45:18 PM,02,2021-01-05 17:45:18
Veneto,21626,55.593830,38900,1/5/2021 5:45:18 PM,05,2021-01-05 17:45:18
Abruzzo,5183,43.793832,11835,1/6/2021 5:50:56 PM,13,2021-01-06 17:50:56
Basilicata,2871,36.318786,7905,1/6/2021 5:50:56 PM,17,2021-01-06 17:50:56
Calabria,2924,11.408506,25630,1/6/2021 5:50:56 PM,18,2021-01-06 17:50:56
Campania,23648,41.292125,57270,1/6/2021 5:50:56 PM,15,2021-01-06 17:50:56
Emilia-Romagna,28009,47.093737,59475,1/6/2021 5:50:56 PM,08,2021-01-06 17:50:56
Friuli-Venezia Giulia,6585,33.316469,19765,1/6/2021 5:50:56 PM,06,2021-01-06 17:50:56
Lazio,37970,61.835355,61405,1/6/2021 5:50:56 PM,12,2021-01-06 17:50:56
Liguria,8382,29.312817,28595,1/6/2021 5:50:56 PM,07,2021-01-06 17:50:56
