regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Abruzzo,7498,47.651732,15735,1/7/2021 8:11:09 PM,13,2021-01-07 20:11:09
Basilicata,3309,41.859583,7905,1/7/2021 8:11:09 PM,17,2021-01-07 20:11:09
Calabria,5177,20.198986,25630,1/7/2021 8:11:09 PM,18,2021-01-07 20:11:09
Campania,31273,46.662190,67020,1/7/2021 8:11:09 PM,15,2021-01-07 20:11:09
Emilia-Romagna,40724,46.409117,87750,1/7/2021 8:11:09 PM,08,2021-01-07 20:11:09
Friuli-Venezia Giulia,7293,29.598214,24640,1/7/2021 8:11:09 PM,06,2021-01-07 20:11:09
Lazio,48941,55.785934,87730,1/7/2021 8:11:09 PM,12,2021-01-07 20:11:09
Liguria,12651,41.417581,30545,1/7/2021 8:11:09 PM,07,2021-01-07 20:11:09
Lombardia,31824,20.702576,153720,1/7/2021 8:11:09 PM,03,2021-01-07 20:11:09
Marche,9012,50.771831,17750,1/7/2021 8:11:09 PM,11,2021-01-07 20:11:09
Molise,1486,30.172589,4925,1/7/2021 8:11:09 PM,14,2021-01-07 20:11:09
P.A. Bolzano,3061,43.916786,6970,1/7/2021 8:11:09 PM,21,2021-01-07 20:11:09
P.A. Trento,4357,26.128936,16675,1/7/2021 8:11:09 PM,22,2021-01-07 20:11:09
Piemonte,30602,36.954474,82810,1/7/2021 8:11:09 PM,01,2021-01-07 20:11:09
Puglia,19413,40.209196,48280,1/7/2021 8:11:09 PM,16,2021-01-07 20:11:09
Sardegna,3749,19.049797,19680,1/7/2021 8:11:09 PM,20,2021-01-07 20:11:09
Sicilia,38450,48.865730,78685,1/7/2021 8:11:09 PM,19,2021-01-07 20:11:09
Toscana,30865,59.020939,52295,1/7/2021 8:11:09 PM,09,2021-01-07 20:11:09
Umbria,4889,49.710219,9835,1/7/2021 8:11:09 PM,10,2021-01-07 20:11:09
Valle d'Aosta,402,20.406091,1970,1/7/2021 8:11:09 PM,02,2021-01-07 20:11:09
Veneto,44934,57.681643,77900,1/7/2021 8:11:09 PM,05,2021-01-07 20:11:09
