fascia,vaccinazioni,aggiornamento,dataAggiornamento
16-19,109,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
20-29,7195,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
30-39,12869,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
40-49,16619,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
50-59,20601,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
60-69,10781,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
70-79,1144,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
80-89,1775,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
90+,1304,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
16-19,132,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
20-29,12351,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
30-39,20694,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
40-49,27156,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
50-59,33552,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
60-69,17828,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
70-79,1751,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
80-89,2624,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
90+,1948,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
16-19,171,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
20-29,16606,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
30-39,27911,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
40-49,36346,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
50-59,45388,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
60-69,23333,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
70-79,2298,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
80-89,3484,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
90+,2642,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
16-19,194,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
20-29,19412,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
30-39,33991,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
40-49,43630,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
50-59,54964,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
60-69,29103,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
70-79,2823,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
80-89,3875,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
90+,3019,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
16-19,368,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
20-29,33084,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
30-39,55852,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
40-49,71104,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
50-59,91507,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
60-69,50642,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
70-79,5670,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
80-89,7208,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
90+,5642,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
16-19,473,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
20-29,41623,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
30-39,70216,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
40-49,89488,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
50-59,116080,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
60-69,63716,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
70-79,7680,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
80-89,9927,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
90+,7841,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
16-19,603,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
20-29,50484,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
30-39,83384,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
40-49,107137,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
50-59,139685,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
60-69,75819,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
70-79,9726,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
80-89,12590,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
90+,9759,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
16-19,843,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
20-29,60392,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
30-39,97986,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
40-49,125598,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
50-59,164535,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
60-69,92741,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
70-79,12754,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
80-89,15944,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
90+,12257,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
16-19,857,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
20-29,61231,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
30-39,98940,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
40-49,126900,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
50-59,166211,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
60-69,94171,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
70-79,12948,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
80-89,16132,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
90+,12408,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
