somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
2,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,20-29,SIC,ITG1
1,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,20-29,SIC,ITG1
7,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,30-39,SIC,ITG1
2,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,30-39,SIC,ITG1
11,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_40-49,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,40-49,SIC,ITG1
14,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_50-59,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,50-59,SIC,ITG1
22,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_60-69,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,60-69,SIC,ITG1
3,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_70-79,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,70-79,SIC,ITG1
1,Sicilia,TML_CAT_OSS,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_70-79,1 - Operatori Sanitari e Sociosanitari,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,70-79,SIC,ITG1
1,Sicilia,TML_CAT_ALTRO,27/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_40-49,2 - Personale non Sanitario,19,2020-12-27,PF/BT,19092701_HSP11 - Ospedale Civico,40-49,SIC,ITG1
1,Sicilia,TML_CAT_PERSONALE,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_40-49,2 - Personale non Sanitario,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,40-49,SIC,ITG1
4,Sicilia,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_50-59,3 - Ospiti Strutture Residenziali,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,50-59,SIC,ITG1
3,Sicilia,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_60-69,3 - Ospiti Strutture Residenziali,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,60-69,SIC,ITG1
9,Sicilia,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_70-79,3 - Ospiti Strutture Residenziali,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,70-79,SIC,ITG1
8,Sicilia,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_80-89,3 - Ospiti Strutture Residenziali,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,80-89,SIC,ITG1
1,Sicilia,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_SIC_818000_STS11 - R.S.A. BUON PASTORE ONLUS_90+,3 - Ospiti Strutture Residenziali,19,2020-12-27,PF/BT,818000_STS11 - R.S.A. BUON PASTORE ONLUS,90+,SIC,ITG1
8,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_190337_HSP11 - P.O. VILLA DELLE GINESTRE_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,190337_HSP11 - P.O. VILLA DELLE GINESTRE,20-29,SIC,ITG1
2,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_19092601_HSP11 - P.O. Villa Sofia_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,19092601_HSP11 - P.O. Villa Sofia,20-29,SIC,ITG1
5,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,19092701_HSP11 - Ospedale Civico,20-29,SIC,ITG1
13,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_190928_HSP11 - AZ.OSP.UNIV.P.GIACCONE_20-29,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,190928_HSP11 - AZ.OSP.UNIV.P.GIACCONE,20-29,SIC,ITG1
9,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_190337_HSP11 - P.O. VILLA DELLE GINESTRE_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,190337_HSP11 - P.O. VILLA DELLE GINESTRE,30-39,SIC,ITG1
5,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_19092601_HSP11 - P.O. Villa Sofia_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,19092601_HSP11 - P.O. Villa Sofia,30-39,SIC,ITG1
17,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_19092701_HSP11 - Ospedale Civico_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,19092701_HSP11 - Ospedale Civico,30-39,SIC,ITG1
14,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_190928_HSP11 - AZ.OSP.UNIV.P.GIACCONE_30-39,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,190928_HSP11 - AZ.OSP.UNIV.P.GIACCONE,30-39,SIC,ITG1
10,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_190337_HSP11 - P.O. VILLA DELLE GINESTRE_40-49,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,190337_HSP11 - P.O. VILLA DELLE GINESTRE,40-49,SIC,ITG1
12,Sicilia,TML_CAT_OSS,28/12/2020_PF/BT_SIC_19092601_HSP11 - P.O. Villa Sofia_40-49,1 - Operatori Sanitari e Sociosanitari,19,2020-12-28,PF/BT,19092601_HSP11 - P.O. Villa Sofia,40-49,SIC,ITG1
