date,valore,regione,tipo
2020-02-23T00:00:00,2,abruzzo,ricoveri
2020-02-24T00:00:00,1,abruzzo,ricoveri
2020-02-25T00:00:00,1,abruzzo,ricoveri
2020-02-26T00:00:00,2,abruzzo,ricoveri
2020-02-27T00:00:00,0,abruzzo,ricoveri
2020-02-28T00:00:00,4,abruzzo,ricoveri
2020-02-29T00:00:00,5,abruzzo,ricoveri
2020-03-01T00:00:00,1,abruzzo,ricoveri
2020-03-02T00:00:00,2,abruzzo,ricoveri
2020-03-03T00:00:00,2,abruzzo,ricoveri
2020-03-04T00:00:00,5,abruzzo,ricoveri
2020-03-05T00:00:00,3,abruzzo,ricoveri
2020-03-06T00:00:00,2,abruzzo,ricoveri
2020-03-07T00:00:00,8,abruzzo,ricoveri
2020-03-08T00:00:00,7,abruzzo,ricoveri
2020-03-09T00:00:00,17,abruzzo,ricoveri
2020-03-10T00:00:00,10,abruzzo,ricoveri
2020-03-11T00:00:00,14,abruzzo,ricoveri
2020-03-12T00:00:00,11,abruzzo,ricoveri
2020-03-13T00:00:00,18,abruzzo,ricoveri
2020-03-14T00:00:00,19,abruzzo,ricoveri
2020-03-15T00:00:00,20,abruzzo,ricoveri
2020-03-16T00:00:00,29,abruzzo,ricoveri
2020-03-17T00:00:00,38,abruzzo,ricoveri
2020-03-18T00:00:00,22,abruzzo,ricoveri
2020-03-19T00:00:00,19,abruzzo,ricoveri
2020-03-20T00:00:00,28,abruzzo,ricoveri
2020-03-21T00:00:00,28,abruzzo,ricoveri
2020-03-22T00:00:00,22,abruzzo,ricoveri
2020-03-23T00:00:00,21,abruzzo,ricoveri
2020-03-24T00:00:00,25,abruzzo,ricoveri
2020-03-25T00:00:00,19,abruzzo,ricoveri
2020-03-26T00:00:00,25,abruzzo,ricoveri
2020-03-27T00:00:00,28,abruzzo,ricoveri
2020-03-28T00:00:00,18,abruzzo,ricoveri
2020-03-29T00:00:00,11,abruzzo,ricoveri
2020-03-30T00:00:00,8,abruzzo,ricoveri
2020-03-31T00:00:00,13,abruzzo,ricoveri
2020-04-01T00:00:00,18,abruzzo,ricoveri
2020-04-02T00:00:00,15,abruzzo,ricoveri
2020-04-03T00:00:00,20,abruzzo,ricoveri
2020-04-04T00:00:00,12,abruzzo,ricoveri
2020-04-05T00:00:00,15,abruzzo,ricoveri
2020-04-06T00:00:00,6,abruzzo,ricoveri
2020-04-07T00:00:00,10,abruzzo,ricoveri
2020-04-08T00:00:00,13,abruzzo,ricoveri
2020-04-09T00:00:00,15,abruzzo,ricoveri
2020-04-10T00:00:00,16,abruzzo,ricoveri
2020-04-11T00:00:00,12,abruzzo,ricoveri
2020-04-12T00:00:00,10,abruzzo,ricoveri
2020-04-13T00:00:00,8,abruzzo,ricoveri
2020-04-14T00:00:00,8,abruzzo,ricoveri
2020-04-15T00:00:00,6,abruzzo,ricoveri
2020-04-16T00:00:00,6,abruzzo,ricoveri
2020-04-17T00:00:00,12,abruzzo,ricoveri
2020-04-18T00:00:00,11,abruzzo,ricoveri
2020-04-19T00:00:00,8,abruzzo,ricoveri
2020-04-20T00:00:00,14,abruzzo,ricoveri
2020-04-21T00:00:00,13,abruzzo,ricoveri
2020-04-22T00:00:00,11,abruzzo,ricoveri
2020-04-23T00:00:00,14,abruzzo,ricoveri
2020-04-24T00:00:00,15,abruzzo,ricoveri
2020-04-25T00:00:00,2,abruzzo,ricoveri
2020-04-26T00:00:00,4,abruzzo,ricoveri
2020-04-27T00:00:00,2,abruzzo,ricoveri
2020-04-28T00:00:00,3,abruzzo,ricoveri
2020-04-29T00:00:00,7,abruzzo,ricoveri
2020-04-30T00:00:00,4,abruzzo,ricoveri
2020-05-01T00:00:00,5,abruzzo,ricoveri
2020-05-02T00:00:00,5,abruzzo,ricoveri
2020-05-03T00:00:00,1,abruzzo,ricoveri
2020-05-04T00:00:00,3,abruzzo,ricoveri
2020-05-05T00:00:00,3,abruzzo,ricoveri
2020-05-06T00:00:00,3,abruzzo,ricoveri
2020-05-07T00:00:00,0,abruzzo,ricoveri
2020-05-08T00:00:00,3,abruzzo,ricoveri
2020-05-09T00:00:00,2,abruzzo,ricoveri
2020-05-10T00:00:00,0,abruzzo,ricoveri
2020-05-11T00:00:00,1,abruzzo,ricoveri
2020-05-12T00:00:00,2,abruzzo,ricoveri
2020-05-13T00:00:00,1,abruzzo,ricoveri
2020-05-14T00:00:00,1,abruzzo,ricoveri
2020-05-15T00:00:00,3,abruzzo,ricoveri
2020-05-16T00:00:00,0,abruzzo,ricoveri
2020-05-17T00:00:00,2,abruzzo,ricoveri
2020-05-18T00:00:00,2,abruzzo,ricoveri
2020-05-19T00:00:00,0,abruzzo,ricoveri
2020-05-20T00:00:00,0,abruzzo,ricoveri
2020-05-21T00:00:00,1,abruzzo,ricoveri
2020-05-22T00:00:00,2,abruzzo,ricoveri
2020-05-23T00:00:00,0,abruzzo,ricoveri
2020-05-24T00:00:00,1,abruzzo,ricoveri
2020-05-25T00:00:00,1,abruzzo,ricoveri
2020-05-26T00:00:00,0,abruzzo,ricoveri
2020-05-27T00:00:00,0,abruzzo,ricoveri
2020-05-28T00:00:00,0,abruzzo,ricoveri
2020-05-29T00:00:00,0,abruzzo,ricoveri
2020-05-30T00:00:00,0,abruzzo,ricoveri
2020-05-31T00:00:00,1,abruzzo,ricoveri
2020-06-01T00:00:00,1,abruzzo,ricoveri
2020-06-02T00:00:00,1,abruzzo,ricoveri
