iss_date,DATA_DECESSO,DECESSI
12/06/2021,21/02/2020,<5
12/06/2021,22/02/2020,<5
12/06/2021,23/02/2020,<5
12/06/2021,24/02/2020,<5
12/06/2021,25/02/2020,8
12/06/2021,26/02/2020,6
12/06/2021,27/02/2020,8
12/06/2021,28/02/2020,11
12/06/2021,29/02/2020,15
12/06/2021,01/03/2020,26
12/06/2021,02/03/2020,24
12/06/2021,03/03/2020,56
12/06/2021,04/03/2020,56
12/06/2021,05/03/2020,80
12/06/2021,06/03/2020,111
12/06/2021,07/03/2020,168
12/06/2021,08/03/2020,176
12/06/2021,09/03/2020,226
12/06/2021,10/03/2020,281
12/06/2021,11/03/2020,312
12/06/2021,12/03/2020,323
12/06/2021,13/03/2020,379
12/06/2021,14/03/2020,445
12/06/2021,15/03/2020,434
12/06/2021,16/03/2020,512
12/06/2021,17/03/2020,574
12/06/2021,18/03/2020,645
12/06/2021,19/03/2020,654
12/06/2021,20/03/2020,755
12/06/2021,21/03/2020,820
12/06/2021,22/03/2020,816
12/06/2021,23/03/2020,864
12/06/2021,24/03/2020,822
12/06/2021,25/03/2020,873
12/06/2021,26/03/2020,837
12/06/2021,27/03/2020,883
12/06/2021,28/03/2020,927
12/06/2021,29/03/2020,767
12/06/2021,30/03/2020,794
12/06/2021,31/03/2020,708
12/06/2021,01/04/2020,715
12/06/2021,02/04/2020,693
12/06/2021,03/04/2020,681
12/06/2021,04/04/2020,640
12/06/2021,05/04/2020,603
12/06/2021,06/04/2020,593
12/06/2021,07/04/2020,614
12/06/2021,08/04/2020,604
12/06/2021,09/04/2020,544
12/06/2021,10/04/2020,608
12/06/2021,11/04/2020,588
12/06/2021,12/04/2020,580
12/06/2021,13/04/2020,535
12/06/2021,14/04/2020,542
12/06/2021,15/04/2020,514
12/06/2021,16/04/2020,452
12/06/2021,17/04/2020,478
12/06/2021,18/04/2020,465
12/06/2021,19/04/2020,463
12/06/2021,20/04/2020,448
12/06/2021,21/04/2020,366
12/06/2021,22/04/2020,384
12/06/2021,23/04/2020,358
12/06/2021,24/04/2020,387
12/06/2021,25/04/2020,359
12/06/2021,26/04/2020,323
12/06/2021,27/04/2020,331
12/06/2021,28/04/2020,313
12/06/2021,29/04/2020,299
12/06/2021,30/04/2020,263
12/06/2021,01/05/2020,259
12/06/2021,02/05/2020,254
12/06/2021,03/05/2020,243
12/06/2021,04/05/2020,220
12/06/2021,05/05/2020,226
12/06/2021,06/05/2020,219
12/06/2021,07/05/2020,180
12/06/2021,08/05/2020,172
12/06/2021,09/05/2020,199
12/06/2021,10/05/2020,170
12/06/2021,11/05/2020,162
12/06/2021,12/05/2020,160
12/06/2021,13/05/2020,145
12/06/2021,14/05/2020,142
12/06/2021,15/05/2020,155
12/06/2021,16/05/2020,103
12/06/2021,17/05/2020,118
12/06/2021,18/05/2020,101
12/06/2021,19/05/2020,92
12/06/2021,20/05/2020,88
12/06/2021,21/05/2020,78
12/06/2021,22/05/2020,84
12/06/2021,23/05/2020,95
12/06/2021,24/05/2020,85
12/06/2021,25/05/2020,75
12/06/2021,26/05/2020,60
12/06/2021,27/05/2020,51
12/06/2021,28/05/2020,71
12/06/2021,29/05/2020,62
12/06/2021,30/05/2020,49
12/06/2021,31/05/2020,49
12/06/2021,01/06/2020,62
12/06/2021,02/06/2020,56
12/06/2021,03/06/2020,51
12/06/2021,04/06/2020,61
12/06/2021,05/06/2020,67
12/06/2021,06/06/2020,78
12/06/2021,07/06/2020,36
12/06/2021,08/06/2020,43
12/06/2021,09/06/2020,45
12/06/2021,10/06/2020,38
12/06/2021,11/06/2020,39
12/06/2021,12/06/2020,34
12/06/2021,13/06/2020,23
12/06/2021,14/06/2020,22
12/06/2021,15/06/2020,37
12/06/2021,16/06/2020,45
12/06/2021,17/06/2020,35
12/06/2021,18/06/2020,44
12/06/2021,19/06/2020,34
12/06/2021,20/06/2020,19
12/06/2021,21/06/2020,25
12/06/2021,22/06/2020,31
12/06/2021,23/06/2020,51
12/06/2021,24/06/2020,25
12/06/2021,25/06/2020,26
12/06/2021,26/06/2020,20
12/06/2021,27/06/2020,24
12/06/2021,28/06/2020,12
12/06/2021,29/06/2020,18
12/06/2021,30/06/2020,16
12/06/2021,01/07/2020,15
