iss_date,DATA_DECESSO,DECESSI
01/11/2021,20/02/2020,<5
01/11/2021,21/02/2020,<5
01/11/2021,22/02/2020,<5
01/11/2021,23/02/2020,<5
01/11/2021,24/02/2020,5
01/11/2021,25/02/2020,10
01/11/2021,26/02/2020,6
01/11/2021,27/02/2020,8
01/11/2021,28/02/2020,11
01/11/2021,29/02/2020,15
01/11/2021,01/03/2020,26
01/11/2021,02/03/2020,25
01/11/2021,03/03/2020,56
01/11/2021,04/03/2020,56
01/11/2021,05/03/2020,81
01/11/2021,06/03/2020,110
01/11/2021,07/03/2020,169
01/11/2021,08/03/2020,178
01/11/2021,09/03/2020,225
01/11/2021,10/03/2020,283
01/11/2021,11/03/2020,312
01/11/2021,12/03/2020,324
01/11/2021,13/03/2020,378
01/11/2021,14/03/2020,447
01/11/2021,15/03/2020,433
01/11/2021,16/03/2020,511
01/11/2021,17/03/2020,574
01/11/2021,18/03/2020,643
01/11/2021,19/03/2020,656
01/11/2021,20/03/2020,753
01/11/2021,21/03/2020,820
01/11/2021,22/03/2020,814
01/11/2021,23/03/2020,860
01/11/2021,24/03/2020,823
01/11/2021,25/03/2020,872
01/11/2021,26/03/2020,839
01/11/2021,27/03/2020,884
01/11/2021,28/03/2020,926
01/11/2021,29/03/2020,768
01/11/2021,30/03/2020,793
01/11/2021,31/03/2020,710
01/11/2021,01/04/2020,715
01/11/2021,02/04/2020,693
01/11/2021,03/04/2020,678
01/11/2021,04/04/2020,640
01/11/2021,05/04/2020,602
01/11/2021,06/04/2020,593
01/11/2021,07/04/2020,612
01/11/2021,08/04/2020,604
01/11/2021,09/04/2020,546
01/11/2021,10/04/2020,609
01/11/2021,11/04/2020,586
01/11/2021,12/04/2020,580
01/11/2021,13/04/2020,532
01/11/2021,14/04/2020,540
01/11/2021,15/04/2020,512
01/11/2021,16/04/2020,449
01/11/2021,17/04/2020,478
01/11/2021,18/04/2020,464
01/11/2021,19/04/2020,462
01/11/2021,20/04/2020,447
01/11/2021,21/04/2020,367
01/11/2021,22/04/2020,385
01/11/2021,23/04/2020,357
01/11/2021,24/04/2020,386
01/11/2021,25/04/2020,358
01/11/2021,26/04/2020,321
01/11/2021,27/04/2020,330
01/11/2021,28/04/2020,313
01/11/2021,29/04/2020,299
01/11/2021,30/04/2020,261
01/11/2021,01/05/2020,259
01/11/2021,02/05/2020,253
01/11/2021,03/05/2020,243
01/11/2021,04/05/2020,219
01/11/2021,05/05/2020,226
01/11/2021,06/05/2020,219
01/11/2021,07/05/2020,181
01/11/2021,08/05/2020,171
01/11/2021,09/05/2020,200
01/11/2021,10/05/2020,170
01/11/2021,11/05/2020,163
01/11/2021,12/05/2020,160
01/11/2021,13/05/2020,145
01/11/2021,14/05/2020,141
01/11/2021,15/05/2020,155
01/11/2021,16/05/2020,103
01/11/2021,17/05/2020,119
01/11/2021,18/05/2020,100
01/11/2021,19/05/2020,92
01/11/2021,20/05/2020,88
01/11/2021,21/05/2020,78
01/11/2021,22/05/2020,84
01/11/2021,23/05/2020,95
01/11/2021,24/05/2020,85
01/11/2021,25/05/2020,75
01/11/2021,26/05/2020,60
01/11/2021,27/05/2020,51
01/11/2021,28/05/2020,70
01/11/2021,29/05/2020,61
01/11/2021,30/05/2020,49
01/11/2021,31/05/2020,48
01/11/2021,01/06/2020,62
01/11/2021,02/06/2020,56
01/11/2021,03/06/2020,51
01/11/2021,04/06/2020,60
01/11/2021,05/06/2020,67
01/11/2021,06/06/2020,78
01/11/2021,07/06/2020,36
01/11/2021,08/06/2020,43
01/11/2021,09/06/2020,45
01/11/2021,10/06/2020,38
01/11/2021,11/06/2020,39
01/11/2021,12/06/2020,34
01/11/2021,13/06/2020,24
01/11/2021,14/06/2020,22
01/11/2021,15/06/2020,38
01/11/2021,16/06/2020,44
01/11/2021,17/06/2020,35
01/11/2021,18/06/2020,44
01/11/2021,19/06/2020,34
01/11/2021,20/06/2020,19
01/11/2021,21/06/2020,25
01/11/2021,22/06/2020,31
01/11/2021,23/06/2020,51
01/11/2021,24/06/2020,25
01/11/2021,25/06/2020,26
01/11/2021,26/06/2020,20
01/11/2021,27/06/2020,24
01/11/2021,28/06/2020,13
01/11/2021,29/06/2020,18
01/11/2021,30/06/2020,17
01/11/2021,01/07/2020,15
01/11/2021,02/07/2020,15
01/11/2021,03/07/2020,16
01/11/2021,04/07/2020,7
01/11/2021,05/07/2020,11
01/11/2021,06/07/2020,14
01/11/2021,07/07/2020,11
01/11/2021,08/07/2020,10
01/11/2021,09/07/2020,10
01/11/2021,10/07/2020,11
01/11/2021,11/07/2020,7
01/11/2021,12/07/2020,9
01/11/2021,13/07/2020,22
01/11/2021,14/07/2020,7
01/11/2021,15/07/2020,8
01/11/2021,16/07/2020,17
01/11/2021,17/07/2020,6
01/11/2021,18/07/2020,14
01/11/2021,19/07/2020,10
01/11/2021,20/07/2020,8
01/11/2021,21/07/2020,14
01/11/2021,22/07/2020,16
01/11/2021,23/07/2020,<5
01/11/2021,24/07/2020,8
01/11/2021,25/07/2020,5
01/11/2021,26/07/2020,5
01/11/2021,27/07/2020,16
01/11/2021,28/07/2020,8
01/11/2021,29/07/2020,7
01/11/2021,30/07/2020,7
