iss_date,DATA_INIZIO_SINTOMI,CASI
27/04/2022,28/01/2020,16
27/04/2022,29/01/2020,21
27/04/2022,30/01/2020,29
27/04/2022,31/01/2020,34
27/04/2022,01/02/2020,53
27/04/2022,02/02/2020,42
27/04/2022,03/02/2020,25
27/04/2022,04/02/2020,24
27/04/2022,05/02/2020,29
27/04/2022,06/02/2020,26
27/04/2022,07/02/2020,22
27/04/2022,08/02/2020,17
27/04/2022,09/02/2020,17
27/04/2022,10/02/2020,61
27/04/2022,11/02/2020,33
27/04/2022,12/02/2020,54
27/04/2022,13/02/2020,51
27/04/2022,14/02/2020,68
27/04/2022,15/02/2020,151
27/04/2022,16/02/2020,83
27/04/2022,17/02/2020,146
27/04/2022,18/02/2020,164
27/04/2022,19/02/2020,145
27/04/2022,20/02/2020,408
27/04/2022,21/02/2020,317
27/04/2022,22/02/2020,402
27/04/2022,23/02/2020,502
27/04/2022,24/02/2020,676
27/04/2022,25/02/2020,816
27/04/2022,26/02/2020,741
27/04/2022,27/02/2020,899
27/04/2022,28/02/2020,1209
27/04/2022,29/02/2020,1079
27/04/2022,01/03/2020,2480
27/04/2022,02/03/2020,1942
27/04/2022,03/03/2020,2249
27/04/2022,04/03/2020,1957
27/04/2022,05/03/2020,2625
27/04/2022,06/03/2020,2969
27/04/2022,07/03/2020,3130
27/04/2022,08/03/2020,3699
27/04/2022,09/03/2020,4448
27/04/2022,10/03/2020,6141
27/04/2022,11/03/2020,4242
27/04/2022,12/03/2020,4811
27/04/2022,13/03/2020,5374
27/04/2022,14/03/2020,4690
27/04/2022,15/03/2020,5864
27/04/2022,16/03/2020,5345
27/04/2022,17/03/2020,4559
27/04/2022,18/03/2020,4789
27/04/2022,19/03/2020,4271
27/04/2022,20/03/2020,6191
27/04/2022,21/03/2020,3846
27/04/2022,22/03/2020,3802
27/04/2022,23/03/2020,4387
27/04/2022,24/03/2020,3580
27/04/2022,25/03/2020,3826
27/04/2022,26/03/2020,3300
27/04/2022,27/03/2020,3528
27/04/2022,28/03/2020,3151
27/04/2022,29/03/2020,2375
27/04/2022,30/03/2020,3676
