iss_date,NOME_NUTS2,CASI_CUMULATIVI
01/01/2021,Abruzzo,35273
01/01/2021,Basilicata,10545
01/01/2021,Calabria,24161
01/01/2021,Campania,186835
01/01/2021,Emilia-Romagna,171512
01/01/2021,Friuli-Venezia Giulia,39931
01/01/2021,Lazio,163066
01/01/2021,Liguria,60487
01/01/2021,Lombardia,480836
01/01/2021,Marche,39683
01/01/2021,Molise,6438
01/01/2021,Piemonte,196795
01/01/2021,Provincia Autonoma di Bolzano/Bozen,28812
01/01/2021,Provincia Autonoma di Trento,21838
01/01/2021,Puglia,90986
01/01/2021,Sardegna,28161
01/01/2021,Sicilia,93889
01/01/2021,Toscana,119869
01/01/2021,Umbria,29457
01/01/2021,Valle d'Aosta/Vallée d'Aoste,7287
01/01/2021,Veneto,256964
