iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
16/12/2020,F,0-9,<5,33737
16/12/2020,F,10-19,<5,73901
16/12/2020,F,20-29,15,110644
16/12/2020,F,30-39,49,116060
16/12/2020,F,40-49,161,158798
16/12/2020,F,50-59,536,173718
16/12/2020,F,60-69,1559,96811
16/12/2020,F,70-79,4917,74219
16/12/2020,F,80-89,11688,81511
16/12/2020,F,>90,8161,41216
16/12/2020,F,Non noto,<5,61
16/12/2020,M,0-9,<5,36237
16/12/2020,M,10-19,<5,81519
16/12/2020,M,20-29,16,113704
16/12/2020,M,30-39,89,112481
16/12/2020,M,40-49,384,138270
16/12/2020,M,50-59,1609,162769
16/12/2020,M,60-69,4631,111184
16/12/2020,M,70-79,10945,82045
16/12/2020,M,80-89,14511,55690
16/12/2020,M,>90,4195,11987
16/12/2020,M,Non noto,5,64
16/12/2020,Non noto,20-29,<5,<5
16/12/2020,Non noto,30-39,<5,<5
16/12/2020,Non noto,40-49,<5,<5
16/12/2020,Non noto,50-59,<5,<5
16/12/2020,Non noto,60-69,<5,<5
16/12/2020,Non noto,80-89,<5,7
