DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
29/01/2020,<5,27/07/2022
06/02/2020,<5,27/07/2022
20/02/2020,<5,27/07/2022
21/02/2020,36,27/07/2022
22/02/2020,58,27/07/2022
23/02/2020,77,27/07/2022
24/02/2020,86,27/07/2022
25/02/2020,192,27/07/2022
26/02/2020,276,27/07/2022
27/02/2020,287,27/07/2022
28/02/2020,354,27/07/2022
29/02/2020,373,27/07/2022
01/03/2020,410,27/07/2022
02/03/2020,629,27/07/2022
03/03/2020,803,27/07/2022
04/03/2020,1076,27/07/2022
05/03/2020,1302,27/07/2022
06/03/2020,1531,27/07/2022
07/03/2020,1463,27/07/2022
08/03/2020,1450,27/07/2022
09/03/2020,2239,27/07/2022
10/03/2020,2451,27/07/2022
11/03/2020,2776,27/07/2022
12/03/2020,3145,27/07/2022
13/03/2020,4101,27/07/2022
14/03/2020,3533,27/07/2022
15/03/2020,2848,27/07/2022
16/03/2020,4817,27/07/2022
17/03/2020,5347,27/07/2022
18/03/2020,5690,27/07/2022
19/03/2020,5684,27/07/2022
20/03/2020,6259,27/07/2022
21/03/2020,4921,27/07/2022
22/03/2020,3925,27/07/2022
23/03/2020,6100,27/07/2022
24/03/2020,5915,27/07/2022
25/03/2020,5804,27/07/2022
26/03/2020,5702,27/07/2022
27/03/2020,5790,27/07/2022
28/03/2020,4529,27/07/2022
29/03/2020,3011,27/07/2022
30/03/2020,5086,27/07/2022
31/03/2020,5360,27/07/2022
01/04/2020,5024,27/07/2022
02/04/2020,4777,27/07/2022
03/04/2020,4446,27/07/2022
04/04/2020,3666,27/07/2022
05/04/2020,2600,27/07/2022
06/04/2020,4091,27/07/2022
07/04/2020,4142,27/07/2022
08/04/2020,4794,27/07/2022
09/04/2020,4687,27/07/2022
10/04/2020,5131,27/07/2022
11/04/2020,3430,27/07/2022
12/04/2020,1918,27/07/2022
13/04/2020,2270,27/07/2022
14/04/2020,3280,27/07/2022
15/04/2020,3947,27/07/2022
16/04/2020,3704,27/07/2022
17/04/2020,3498,27/07/2022
18/04/2020,2641,27/07/2022
19/04/2020,1385,27/07/2022
20/04/2020,3007,27/07/2022
21/04/2020,3081,27/07/2022
22/04/2020,2603,27/07/2022
23/04/2020,2810,27/07/2022
24/04/2020,2740,27/07/2022
25/04/2020,1666,27/07/2022
26/04/2020,1017,27/07/2022
27/04/2020,1981,27/07/2022
28/04/2020,2240,27/07/2022
29/04/2020,2328,27/07/2022
30/04/2020,2267,27/07/2022
01/05/2020,1084,27/07/2022
02/05/2020,1021,27/07/2022
03/05/2020,506,27/07/2022
04/05/2020,1456,27/07/2022
05/05/2020,1537,27/07/2022
06/05/2020,1441,27/07/2022
07/05/2020,1389,27/07/2022
08/05/2020,1380,27/07/2022
09/05/2020,731,27/07/2022
10/05/2020,336,27/07/2022
11/05/2020,873,27/07/2022
12/05/2020,915,27/07/2022
13/05/2020,890,27/07/2022
14/05/2020,900,27/07/2022
15/05/2020,791,27/07/2022
16/05/2020,606,27/07/2022
17/05/2020,298,27/07/2022
18/05/2020,655,27/07/2022
19/05/2020,720,27/07/2022
20/05/2020,676,27/07/2022
21/05/2020,621,27/07/2022
22/05/2020,685,27/07/2022
23/05/2020,356,27/07/2022
24/05/2020,147,27/07/2022
25/05/2020,513,27/07/2022
26/05/2020,540,27/07/2022
27/05/2020,523,27/07/2022
28/05/2020,516,27/07/2022
29/05/2020,386,27/07/2022
30/05/2020,286,27/07/2022
31/05/2020,89,27/07/2022
01/06/2020,377,27/07/2022
02/06/2020,87,27/07/2022
03/06/2020,358,27/07/2022
04/06/2020,361,27/07/2022
05/06/2020,385,27/07/2022
06/06/2020,203,27/07/2022
07/06/2020,84,27/07/2022
08/06/2020,300,27/07/2022
09/06/2020,368,27/07/2022
10/06/2020,394,27/07/2022
11/06/2020,449,27/07/2022
12/06/2020,369,27/07/2022
13/06/2020,214,27/07/2022
14/06/2020,68,27/07/2022
15/06/2020,276,27/07/2022
16/06/2020,280,27/07/2022
17/06/2020,303,27/07/2022
18/06/2020,233,27/07/2022
19/06/2020,290,27/07/2022
20/06/2020,165,27/07/2022
21/06/2020,62,27/07/2022
22/06/2020,338,27/07/2022
23/06/2020,289,27/07/2022
24/06/2020,207,27/07/2022
25/06/2020,203,27/07/2022
26/06/2020,186,27/07/2022
27/06/2020,124,27/07/2022
28/06/2020,66,27/07/2022
29/06/2020,231,27/07/2022
30/06/2020,203,27/07/2022
01/07/2020,237,27/07/2022
02/07/2020,250,27/07/2022
03/07/2020,244,27/07/2022
04/07/2020,225,27/07/2022
05/07/2020,77,27/07/2022
06/07/2020,237,27/07/2022
07/07/2020,226,27/07/2022
08/07/2020,289,27/07/2022
09/07/2020,220,27/07/2022
10/07/2020,255,27/07/2022
11/07/2020,164,27/07/2022
12/07/2020,65,27/07/2022
13/07/2020,192,27/07/2022
14/07/2020,243,27/07/2022
15/07/2020,240,27/07/2022
16/07/2020,264,27/07/2022
17/07/2020,284,27/07/2022
18/07/2020,173,27/07/2022
19/07/2020,111,27/07/2022
20/07/2020,319,27/07/2022
21/07/2020,279,27/07/2022
22/07/2020,288,27/07/2022
23/07/2020,270,27/07/2022
24/07/2020,312,27/07/2022
25/07/2020,197,27/07/2022
26/07/2020,91,27/07/2022
27/07/2020,326,27/07/2022
28/07/2020,319,27/07/2022
29/07/2020,473,27/07/2022
30/07/2020,373,27/07/2022
31/07/2020,324,27/07/2022
01/08/2020,202,27/07/2022
02/08/2020,107,27/07/2022
03/08/2020,422,27/07/2022
04/08/2020,394,27/07/2022
05/08/2020,509,27/07/2022
06/08/2020,400,27/07/2022
07/08/2020,499,27/07/2022
08/08/2020,346,27/07/2022
09/08/2020,198,27/07/2022
10/08/2020,501,27/07/2022
11/08/2020,540,27/07/2022
12/08/2020,631,27/07/2022
13/08/2020,548,27/07/2022
14/08/2020,634,27/07/2022
15/08/2020,324,27/07/2022
16/08/2020,299,27/07/2022
17/08/2020,702,27/07/2022
18/08/2020,927,27/07/2022
19/08/2020,1078,27/07/2022
20/08/2020,1167,27/07/2022
