FID,OBJECTID,NOME,SIGLA,TOTALE,Shape__Area,Shape__Length
"1","1",SONDRIO,SO,"2120",6700862167.36768,726889.521267031
"2","2",BERGAMO,BG,"16932",5678223455.11621,496760.67237215
"3","3",MILANO,MI,"47111",3204331844.57471,561010.360789081
"4","4",MANTOVA,MN,"4905",4706657734.01953,599901.424873077
"5","5",LODI,LO,"4503",1578921217.72168,407029.81257394
"6","6",CREMONA,CR,"7589",3572025113.47852,604523.361670708
"7","7",LECCO,LC,"3956",1658429735.67969,304186.381732512
"8","8",VARESE,VA,"7825",2473963900.30029,408475.470250719
"9","9",COMO,CO,"6472",2647712966.80664,438825.703548326
"10","10",PAVIA,PV,"7892",5968336110.35303,769899.58676381
"11","11",BRESCIA,BS,"18969",9805712110.53223,711590.261483429
"12","12",MONZA E DELLA BRIANZA,MB,"11093",828999061.888672,244734.866915099
"13","13",IGNOTA,ND,"4278",48881.6899414063,1011.23693228619
