FID,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,SHAPE_AREA,SHAPE_LEN,POSITIVI,DECEDUTI,TOTALE,Shape__Area,Shape__Length
"1","30","03018144",SANT`ANGELO LOMELLINA,PAVIA,PV,LOMBARDIA,"10397074.7209035","16920.89680001","0","1","1",20983787.6904297,24044.5485651328
"2","31","03015155",NOSATE,MILANO,MI,LOMBARDIA,"4923315.4153587","10882.7520813082","2","0","2",10047848.3129883,15553.0375267277
"3","32","03108028",LISSONE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"9332518.61121148","21400.6488847849","125","11","136",19088484.5493164,30607.9036632455
"4","33","03017110",MONNO,BRESCIA,BS,LOMBARDIA,"31034027.7061786","27930.5382224918","1","0","1",64879964.6538086,40405.4093882801
"5","34","03098037",MASSALENGO,LODI,LO,LOMBARDIA,"8534672.51939301","18575.19090297","24","0","24",17239942.112793,26404.5771740248
"6","35","03016223",VALBONDIONE,BERGAMO,BG,LOMBARDIA,"96490797.2945535","50835.9326946417","9","4","13",200364875.027832,73241.3083580201
"7","36","03019079",RICENGO,CREMONA,CR,LOMBARDIA,"12548234.8928615","22122.6960464388","7","0","7",25477325.1293945,31521.251434897
"8","37","03017022",BORNO,BRESCIA,BS,LOMBARDIA,"30534282.7127987","30381.9186282654","24","4","28",63199912.6621094,43698.9635229177
"9","38","03020022",DOSOLO,MANTOVA,MN,LOMBARDIA,"25654047.0676521","27199.8464364971","20","6","26",51263006.3251953,38465.8770168288
"10","39","03014053",POSTALESIO,SONDRIO,SO,LOMBARDIA,"10533342.1507612","19631.0707311106","1","0","1",21988097.8916016,28381.4787074381
"11","41","03016189",SAN PAOLO D`ARGON,BERGAMO,BG,LOMBARDIA,"5254573.66987101","12944.2127634442","30","10","40",10772991.5805664,18537.1685136383
"12","42","03098008",CASALETTO LODIGIANO,LODI,LO,LOMBARDIA,"9917021.24079599","28474.0409985923","6","1","7",20056883.2817383,40492.8795690841
"13","43","03018157",TORRE D`ARESE,PAVIA,PV,LOMBARDIA,"4376580.740956","12414.2030617814","1","1","2",8832570.10449219,17636.6704189885
"14","44","03015192",SAN DONATO MILANESE,MILANO,MI,LOMBARDIA,"12824817.1036885","26388.914340718","67","9","76",26042588.4521484,37600.2973696801
"15","45","03097075",SIRONE,LECCO,LC,LOMBARDIA,"3248560.42440138","11893.0487293212","6","0","6",6681827.24560547,17058.6451524668
"16","46","03012127",TRADATE,VARESE,VA,LOMBARDIA,"21341876.4445769","27592.5773827651","20","4","24",43804909.0395508,39541.5351909453
"17","47","03097018",CASSINA VALSASSINA,LECCO,LC,LOMBARDIA,"2623531.48381742","14024.9825316187","1","0","1",5423455.63183594,20174.5846212655
"18","48","03018152",SPESSA,PAVIA,PV,LOMBARDIA,"12250432.2857325","16042.144261163","2","0","2",24621677.3867188,22742.1003468484
"19","1","03015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,"3968100.944667","13732.3644186767","48","8","56",8066066.53515625,19579.5665808036
"20","2","03017206",PIANCOGNO,BRESCIA,BS,LOMBARDIA,"14124145.9611643","30777.6106903593","20","2","22",29207824.4892578,44250.1804832682
"21","3","03015200",SANTO STEFANO TICINO,MILANO,MI,LOMBARDIA,"5029242.180515","13713.4091193685","9","3","12",10239952.03125,19568.0527681651
"22","4","03014021",CINO,SONDRIO,SO,LOMBARDIA,"5048184.07597276","11144.454512366","1","0","1",10530701.5610352,16096.8050784693
"23","5","03014013",CASPOGGIO,SONDRIO,SO,LOMBARDIA,"6795788.87268808","13979.4143698954","9","1","10",14219184.1103516,20217.1656316402
"24","6","03012051",CITTIGLIO,VARESE,VA,LOMBARDIA,"11488684.1770793","14945.0457396703","1","0","1",23741947.706543,21489.778414157
"25","7","03016030",BONATE SOPRA,BERGAMO,BG,LOMBARDIA,"6046718.4961975","13572.9622503853","49","7","56",12395691.684082,19432.1046404107
"26","8","03012108",OLGIATE OLONA,VARESE,VA,LOMBARDIA,"7345202.92891507","15253.5839241438","16","3","19",15030641.1782227,21821.9943534411
"27","9","03016017",AZZONE,BERGAMO,BG,LOMBARDIA,"17315730.8043558","22193.7890296165","2","0","2",35864369.6464844,31937.9069743527
"28","10","03018158",TORRE DE` NEGRI,PAVIA,PV,LOMBARDIA,"4019717.834618","11220.3713492217","0","1","1",8086815.75390625,15914.4165042155
"29","11","03015036",BUCCINASCO,MILANO,MI,LOMBARDIA,"11998573.1754675","27089.9030321709","28","6","34",24360650.7724609,38608.2585204473
"30","12","03012141",SANGIANO,VARESE,VA,LOMBARDIA,"2127845.67685535","7105.41110824292","2","0","2",4392720.10205078,10214.0974153093
